id,ingredient
20-minute-carbonara-with-peas,200g spaghetti
20-minute-carbonara-with-peas,250g frozen peas
20-minute-carbonara-with-peas,2 medium eggs
20-minute-carbonara-with-peas,"25g Parmesan, grated"
20-minute-carbonara-with-peas,4 level tbsp reduced-fat crème fraîche
20-minute-carbonara-with-peas,1 tbsp olive oil
20-minute-carbonara-with-peas,"4 rashers Asda Extra Special Unsmoked Back Bacon, chopped"
20-minute-carbonara-with-peas,"1 shallot, finely chopped"
20-minute-carbonara-with-peas,"1 garlic clove, crushed"
20-minute-carbonara-with-peas,"Chopped parsley, to serve"
alcoholic-orange-sorbet,750ml Asda Orange Juice with Bits (not from concentrate) 
alcoholic-orange-sorbet,100g granulated sugar
alcoholic-orange-sorbet,Finely grates zest 1 orange 
alcoholic-orange-sorbet,1tsp Angostura Bitters
alcoholic-orange-sorbet,50ml Aperol Aperitivo 
alcoholic-orange-sorbet,200ml Extra Special Prosecco Brut 
alfajores,"100g butter, softened"
alfajores,50g caster sugar
alfajores,1-2 drops vanilla extract
alfajores,2 level tbsp cornflour
alfajores,150g plain flour
alfajores,"397g can Carnation Cook With Caramel, frozen for 1hr"
alice-in-wonderland-teapot-cake,60g self raising flour
alice-in-wonderland-teapot-cake,1tsp baking powder
alice-in-wonderland-teapot-cake,25g cocoa powder
alice-in-wonderland-teapot-cake,175g caster sugar
alice-in-wonderland-teapot-cake,"175g butter, softened, plus extra for greasing"
alice-in-wonderland-teapot-cake, 3 eggs
alice-in-wonderland-teapot-cake,1tbsp milk
alice-in-wonderland-teapot-cake,350g plain flour
alice-in-wonderland-teapot-cake,2 level tsp ground ginger
alice-in-wonderland-teapot-cake,1/2tsp ground cinnamon
alice-in-wonderland-teapot-cake,1/2tsp ground mixed spice
alice-in-wonderland-teapot-cake,1 level tsp bicarbonate of soda
alice-in-wonderland-teapot-cake,"125g butter, chilled"
alice-in-wonderland-teapot-cake,175g light soft brown sugar
alice-in-wonderland-teapot-cake,4tbsp golden syrup
alice-in-wonderland-teapot-cake,"1 egg, beaten"
alice-in-wonderland-teapot-cake,3tbsp Nutella
alice-in-wonderland-teapot-cake,1 x 380g pot Cake Angels Mallow Icing
alice-in-wonderland-teapot-cake,"2 x 250g packs ready to roll icing in blue, plus 1 pack each in green, red, black and white"
alice-in-wonderland-teapot-cake,"3tsp apricot jam, warmed"
almond-herb-crusted-salmon,kg boneless salmon side
almond-herb-crusted-salmon,"50g breadcrumbs (ciabatta, or white bread, 1-2 days old)"
almond-herb-crusted-salmon,"25g flaked almonds, toasted"
almond-herb-crusted-salmon,"Zest of 1 lemon, plus slices to serve"
almond-herb-crusted-salmon,1tbsp chopped parsley
almond-herb-crusted-salmon,"1tbsp finely chopped chives, plus whole chives, to serve"
almond-herb-crusted-salmon,"1 clove garlic, crushed"
almond-herb-crusted-salmon,2tbsp olive oil
almond-herb-crusted-salmon,1tbsp Dijon mustard
aloo-gobi-potato-cauliflower-curry,1 level tsp Schwartz Fennel Seeds
aloo-gobi-potato-cauliflower-curry,1 level tsp Asda Mustard Seeds
aloo-gobi-potato-cauliflower-curry,1 level tsp ground cumin
