id,url,image,name,time,serves,price,energy,fat,saturated_fat,sugar,salt
20-minute-carbonara-with-peas,https://www.asdagoodliving.co.uk/food/recipes/20-minute-carbonara-with-peas,https://be35832fa5168a30acd6-5c7e0f2623ae37b4a933167fe83d71b5.ssl.cf3.rackcdn.com/1602/20-minute-carbonara-with-peas__square.jpg,20-minute carbonara with peas,20 mins,4,£1.15 per serving,431,16.6g,6.1g,5g,1805
alcoholic-orange-sorbet,https://www.asdagoodliving.co.uk/food/recipes/alcoholic-orange-sorbet,https://be35832fa5168a30acd6-5c7e0f2623ae37b4a933167fe83d71b5.ssl.cf3.rackcdn.com/3856/alcoholic_orange_sorbet__square.jpg,Alcoholic orange sorbet,15 mins,2 (with 6 portions left over),£1.91 per serving,109,0.1g,0.0g,21.4g,0.01
alfajores,https://www.asdagoodliving.co.uk/food/recipes/alfajores,https://be35832fa5168a30acd6-5c7e0f2623ae37b4a933167fe83d71b5.ssl.cf3.rackcdn.com/2371/alfajores__square.jpg,Argentinian Alfajores Biscuits,30 mins,18,13p per serving,149,6.2g,3.8g,14.8g,0.12
alice-in-wonderland-teapot-cake,https://www.asdagoodliving.co.uk/food/recipes/alice-in-wonderland-teapot-cake,https://be35832fa5168a30acd6-5c7e0f2623ae37b4a933167fe83d71b5.ssl.cf3.rackcdn.com/2244/alice_in_wonderland_teapot_cake__square.jpg,Alice in Wonderland teapot cake,105 mins,32,83p per serving,343,12.2g,6.4g,40.9g,0.44
almond-herb-crusted-salmon,https://www.asdagoodliving.co.uk/food/recipes/almond-herb-crusted-salmon,https://be35832fa5168a30acd6-5c7e0f2623ae37b4a933167fe83d71b5.ssl.cf3.rackcdn.com/2231/almond-herb-crusted-salmon__square.jpg,Almond and herb crusted salmon,40 mins,4,£3.30 per serving,685,47.9g,7.9g,1.1g,0.56
aloo-gobi-potato-cauliflower-curry,https://www.asdagoodliving.co.uk/food/recipes/aloo-gobi-potato-cauliflower-curry,https://be35832fa5168a30acd6-5c7e0f2623ae37b4a933167fe83d71b5.ssl.cf3.rackcdn.com/1248/potato-cauliflower-curry-aloo-gobi__square.jpg,Aloo Gobi (potato & cauliflower curry),45 mins,4,85p per serving,237,8.2g,1.2g,8.6g,992
american-cheeseburger,https://www.asdagoodliving.co.uk/food/recipes/american-cheeseburger,https://be35832fa5168a30acd6-5c7e0f2623ae37b4a933167fe83d71b5.ssl.cf3.rackcdn.com/4168/american_beef_burger__square.jpg,American cheeseburger,25 mins,4,£1.44 per serving,395,16.6g,6.6g,7.3g,1.75
american-meatloaf,https://www.asdagoodliving.co.uk/food/recipes/american-meatloaf,https://be35832fa5168a30acd6-5c7e0f2623ae37b4a933167fe83d71b5.ssl.cf3.rackcdn.com/1403/american-meatloaf__square.jpg,American meatloaf,85 mins,8,80p per serving,459,16g,5.2g,11g,1922
american-pancake-stack,https://www.asdagoodliving.co.uk/food/recipes/american-pancake-stack,https://be35832fa5168a30acd6-5c7e0f2623ae37b4a933167fe83d71b5.ssl.cf3.rackcdn.com/1382/american-pancakes__square.jpg,American pancake stack,30 mins,20,3p per serving,36,1.6g,0.7g,0.4g,151
american-pecan-pie,https://www.asdagoodliving.co.uk/food/recipes/american-pecan-pie,https://be35832fa5168a30acd6-5c7e0f2623ae37b4a933167fe83d71b5.ssl.cf3.rackcdn.com/1050/american-pecan-pie-2__square.jpg,American pecan pie,105 mins,8,75p per serving,740,49.9g,13.5g,34.2g,3098
american-style-onion-rings,https://www.asdagoodliving.co.uk/food/recipes/american-style-onion-rings,https://be35832fa5168a30acd6-5c7e0f2623ae37b4a933167fe83d71b5.ssl.cf3.rackcdn.com/258/imageRecipeAmericanStyleOnionRings-2x__square.jpg,American-style onion rings,35 mins,6,28p per serving,221,10.6g,1.8g,9g,925
american-style-pulled-pork-sandwich,https://www.asdagoodliving.co.uk/food/recipes/american-style-pulled-pork-sandwich,https://be35832fa5168a30acd6-5c7e0f2623ae37b4a933167fe83d71b5.ssl.cf3.rackcdn.com/187/imageRecipeAmericanStylePulledPork-2x__square.jpg,American-style pulled pork sandwich,240 mins,6,£1.73 per serving,486,15.7g,4.6g,6.3g,2035
apple-crumble-parmesan-cake,https://www.asdagoodliving.co.uk/food/recipes/apple-crumble-parmesan-cake,https://be35832fa5168a30acd6-5c7e0f2623ae37b4a933167fe83d71b5.ssl.cf3.rackcdn.com/4596/apple-crumble-and-parmesan-cake__square.jpg,Apple crumble & Parmesan cake,75 mins,18,38p per serving,308,18.3g,8.5g,17.7g,0.40
apple-crumble-recipe,https://www.asdagoodliving.co.uk/food/recipes/apple-crumble-recipe,https://be35832fa5168a30acd6-5c7e0f2623ae37b4a933167fe83d71b5.ssl.cf3.rackcdn.com/3379/crumble__square.jpg,Comforting apple crumble,50 mins,12,£0.44 per serving,223,10.1g,6.2g,15.0g,0.01
apple-date-charlotte,https://www.asdagoodliving.co.uk/food/recipes/apple-date-charlotte,https://be35832fa5168a30acd6-5c7e0f2623ae37b4a933167fe83d71b5.ssl.cf3.rackcdn.com/1132/apple-date-charlotte__square.jpg,Apple & date charlotte,60 mins,6,55p per serving,236,5.9g,2.7g,22.8g,988
apple-kale-smoothie,https://www.asdagoodliving.co.uk/food/recipes/apple-kale-smoothie,https://be35832fa5168a30acd6-5c7e0f2623ae37b4a933167fe83d71b5.ssl.cf3.rackcdn.com/3378/smoothie__square.jpg,Green apple and kale smoothie,8 mins,4,£0.42 per serving,144,5.4g,0.9g,17.8g,0.22
apple-pear-cinnamon-crumble,https://www.asdagoodliving.co.uk/food/recipes/apple-pear-cinnamon-crumble,https://be35832fa5168a30acd6-5c7e0f2623ae37b4a933167fe83d71b5.ssl.cf3.rackcdn.com/386/imageRecipeApplePearCinnamonCrumble-2x__square.jpg,"Apple, pear & cinnamon crumble",60 mins,6,95p per serving,592,25.2g,12.6g,55.1g,2479
apple-radish-beetroot-coleslaw,https://www.asdagoodliving.co.uk/food/recipes/apple-radish-beetroot-coleslaw,https://be35832fa5168a30acd6-5c7e0f2623ae37b4a933167fe83d71b5.ssl.cf3.rackcdn.com/2396/coleslaw__square.jpg,"Apple, radish & beetroot coleslaw",10 mins,6,44p per serving,93,3.2g,0.8g,12.2g,0.31
apple-rose-tarts,https://www.asdagoodliving.co.uk/food/recipes/apple-rose-tarts,https://be35832fa5168a30acd6-5c7e0f2623ae37b4a933167fe83d71b5.ssl.cf3.rackcdn.com/2162/apple_rose_tart__square.jpg,Apple rose tarts,30 mins,2,54p per serving,222,9.7g,4.8g,10.9g,0.34
apple-slaw,https://www.asdagoodliving.co.uk/food/recipes/apple-slaw,https://be35832fa5168a30acd6-5c7e0f2623ae37b4a933167fe83d71b5.ssl.cf3.rackcdn.com/1544/apple-slaw__square.jpg,Apple slaw,20 mins,6,25p per serving,156,9.2g,3.7g,12g,653
apple-snow,https://www.asdagoodliving.co.uk/food/recipes/apple-snow,https://be35832fa5168a30acd6-5c7e0f2623ae37b4a933167fe83d71b5.ssl.cf3.rackcdn.com/845/apple-snow__square.jpg,Apple snow,60 mins,4,90p per serving,308,12g,7.4g,45g,1290
apple-watercress-and-asparagus-soup-recipe,https://www.asdagoodliving.co.uk/food/recipes/apple-watercress-and-asparagus-soup-recipe,https://be35832fa5168a30acd6-5c7e0f2623ae37b4a933167fe83d71b5.ssl.cf3.rackcdn.com/4059/watercress-soup__square.jpg,"Apple, watercress and asparagus soup",45 mins,6,60p per serving,276,3.6g,0.9g,9.5g,1.13
apricot-almond-cake,https://www.asdagoodliving.co.uk/food/recipes/apricot-almond-cake,https://be35832fa5168a30acd6-5c7e0f2623ae37b4a933167fe83d71b5.ssl.cf3.rackcdn.com/1233/apricot-almond-cake__square.jpg,Apricot & almond cake,70 mins,8,48p per serving,361,24g,9.5g,19g,1511
apricot-chicken-with-vegetable-rice,https://www.asdagoodliving.co.uk/food/recipes/apricot-chicken-with-vegetable-rice,https://be35832fa5168a30acd6-5c7e0f2623ae37b4a933167fe83d71b5.ssl.cf3.rackcdn.com/1388/apricot-chicken-with-vegetable-rice__square.jpg,Apricot chicken with vegetable rice,40 mins,4,£1.67 per serving,585,9.4g,1.7g,9.9g,2449
apricot-chocolate-tart,https://www.asdagoodliving.co.uk/food/recipes/apricot-chocolate-tart,https://be35832fa5168a30acd6-5c7e0f2623ae37b4a933167fe83d71b5.ssl.cf3.rackcdn.com/715/apricot-chocolate-tart__square.jpg,Apricot & chocolate tart,30 mins,4,£1.56 per serving,470,33.8g,17.3g,22.7g,1968
apricot-glazed-chicken,https://www.asdagoodliving.co.uk/food/recipes/apricot-glazed-chicken,https://be35832fa5168a30acd6-5c7e0f2623ae37b4a933167fe83d71b5.ssl.cf3.rackcdn.com/299/imageRecipeApricotGlazedChicken-2x__square.jpg,Apricot glazed chicken,30 mins,4,£1.25 per serving,300,10.8g,2.2g,13.5g,1256
apricot-hazelnut-meringue,https://www.asdagoodliving.co.uk/food/recipes/apricot-hazelnut-meringue,https://be35832fa5168a30acd6-5c7e0f2623ae37b4a933167fe83d71b5.ssl.cf3.rackcdn.com/969/apricot-hazelnut-meringue__square.jpg,Apricot and hazelnut meringue,120 mins,8,70p per serving,409,28g,9.5g,50g,0.19
apricot-mousse,https://www.asdagoodliving.co.uk/food/recipes/apricot-mousse,https://be35832fa5168a30acd6-5c7e0f2623ae37b4a933167fe83d71b5.ssl.cf3.rackcdn.com/1243/apricot-mousse__square.jpg,Apricot mousse,40 mins,6,71p per serving,203,3g,1.7g,36.6g,850
apricot-pecan-roulade,https://www.asdagoodliving.co.uk/food/recipes/apricot-pecan-roulade,https://be35832fa5168a30acd6-5c7e0f2623ae37b4a933167fe83d71b5.ssl.cf3.rackcdn.com/952/apricot-pecan-roulade__square.jpg,Apricot & pecan roulade,100 mins,8,64p per serving,527,32g,13g,40g,2206
apricot-pistachio-rock-cakes,https://www.asdagoodliving.co.uk/food/recipes/apricot-pistachio-rock-cakes,https://be35832fa5168a30acd6-5c7e0f2623ae37b4a933167fe83d71b5.ssl.cf3.rackcdn.com/213/imageRecipeApricotPistachioRockCakes-2x__square.jpg,Apricot & pistachio rock cakes,35 mins,12,26p per serving,256,12g,5.9g,20g,1072
aromatic-lamb-italiano-with-salsa-verde,https://www.asdagoodliving.co.uk/food/recipes/aromatic-lamb-italiano-with-salsa-verde,https://be35832fa5168a30acd6-5c7e0f2623ae37b4a933167fe83d71b5.ssl.cf3.rackcdn.com/4012/lamb-italiano-with-salsa-verde__square.jpg,Aromatic lamb Italiano with salsa verde,200 mins,12,£1.47 per serving,287,14.8g,5.5g,0.4g,0.35
aromatic-moroccan-couscous-recipe,https://www.asdagoodliving.co.uk/food/recipes/aromatic-moroccan-couscous-recipe,https://be35832fa5168a30acd6-5c7e0f2623ae37b4a933167fe83d71b5.ssl.cf3.rackcdn.com/3706/couscous__square.jpg,Aromatic Moroccan couscous recipe,20 mins,6,67p per serving,423,12.6g,1.4g,13.4g,0.55
