,Ingredient,numTimes
0,asda,2528
1,chopped,1930
2,oil,1356
3,sliced,1058
4,sugar,992
5,serve,959
6,butter,849
7,large,819
8,red,772
9,pack,736
10,finely,686
11,flour,674
12,olive,648
13,fresh,589
14,grated,568
15,onion,566
16,juice,551
17,garlic,537
18,frozen,522
19,peeled,500
20,sauce,498
21,eggs,474
22,milk,462
23,stock,460
24,special,458
25,chosen,457
26,small,453
27,lemon,441
28,caster,435
29,tomatoes,424
30,sunflower,396
31,ground,395
32,egg,386
33,can,386
34,white,377
35,drained,356
36,dried,349
37,chicken,348
38,crushed,346
39,onions,333
40,potatoes,331
41,powder,318
42,trimmed,317
43,icing,310
44,chilli,309
45,cream,307
46,pepper,307
47,parsley,296
48,halved,294
49,cheese,290
50,zest,285
51,tomato,274
52,fat,271
53,mixed,270
54,spring,269
55,clove,267
56,de-seeded,264
57,pieces,262
58,coriander,253
59,chocolate,242
60,green,236
61,mustard,234
62,baby,233
63,vinegar,232
64,diced,230
65,bread,229
66,beans,218
67,sweet,217
68,beaten,214
69,optional,214
70,vanilla,213
71,ginger,211
72,rice,209
73,fillets,208
74,thyme,206
75,lime,205
76,soft,204
77,cube,202
78,vegetable,199
79,free-range,199
80,cornflour,194
81,honey,194
82,brown,193
83,carrots,190
84,cloves,189
85,extract,187
86,light,185
87,peas,184
88,orange,184
89,beef,183
90,packs,176
91,seeds,170
92,slices,169
93,salt,166
94,unsalted,162
95,wine,160
96,baking,156
97,self-raising,155
98,pastry,155
99,water,155
100,roughly,152
101,double,151
102,cooked,149
103,peppers,148
104,mushrooms,147
105,chunks,147
106,pinch,146
107,softened,143
108,cheddar,142
109,dark,142
110,pork,141
111,soy,137
112,black,137
113,smoked,136
114,rinsed,135
115,cinnamon,134
116,cubes,134
117,cocoa,133
118,mature,133
119,parmesan,132
120,whole,131
121,rapeseed,131
122,made,129
123,ready,129
124,greasing,127
125,breadcrumbs,126
126,spinach,126
127,salad,126
128,cherry,125
129,almonds,125
130,garnish,124
131,wedges,121
132,syrup,120
133,paprika,119
134,rolling,118
135,butchers,117
136,yogurt,117
137,mint,117
138,hot,116
139,crème,115
140,cubed,115
141,melted,115
142,sprigs,114
143,golden,113
144,breast,113
145,reduced,113
146,fraîche,111
147,basil,111
148,herbs,108
149,purée,105
150,leaf,105
151,thinly,105
152,weight,104
153,potato,103
154,smart,103
155,out,103
156,coconut,101
157,bag,99
158,grower’s,99
159,ketchup,98
160,cumin,97
161,cook,96
162,less,94
163,food,94
164,salmon,93
165,butcher’s,93
166,mix,93
167,cans,92
168,quartered,91
169,lamb,91
170,decorate,90
171,flat-leaf,90
172,ripe,90
173,reduced-fat,90
174,semi-skimmed,88
175,jar,87
176,nuts,86
177,sweetcorn,85
178,fish,84
179,dijon,83
180,piece,82
181,removed,82
182,carrot,82
183,bacon,82
184,shredded,82
185,chillies,81
186,pot,81
187,balsamic,80
188,british,80
189,crumbled,78
190,steaks,78
191,lightly,78
192,mince,77
193,cider,77
194,curry,77
195,jam,77
196,chilled,76
197,natural,75
198,apple,75
199,roll,74
200,celery,74
201,greek,73
202,free,73
203,dusting,73
204,steak,73
205,root,71
206,fillet,71
207,spice,71
208,broccoli,70
209,raspberries,70
210,deseeded,70
211,bay,70
212,paste,70
213,colouring,69
214,squash,69
215,grain,69
216,cucumber,69
217,butternut,68
218,dry,68
219,mild,68
220,shallot,68
221,drops,67
222,good,67
223,unwaxed,67
224,bite-sized,67
225,toasted,67
226,lettuce,66
227,stick,66
228,strawberries,66
229,rocket,65
230,only,64
231,noodles,64
232,crusty,64
233,chives,64
234,prawns,64
235,puff,64
236,style,64
237,worcestershire,63
238,pasta,63
239,king,63
240,lean,62
241,apricots,62
242,sesame,62
243,skin,61
244,sticks,60
245,oregano,60
246,sultanas,59
247,sausages,59
248,scratch,59
249,each,58
250,cayenne,58
251,chickpeas,58
252,bunch,58
253,cored,57
254,turkey,57
255,solids,57
256,apples,57
257,ham,56
258,mayonnaise,56
259,stoned,56
260,olives,56
261,washed,56
262,rashers,56
263,shallots,55
264,torn,55
265,shortcrust,55
266,flaked,53
267,nutmeg,53
268,courgettes,53
269,roast,52
270,dr,51
271,mini,51
272,soda,51
273,cherries,50
274,oetker,50
275,lengthways,49
276,freshly,49
277,jelly,49
278,wholemeal,49
279,handful,48
280,rosemary,48
281,mango,48
282,coarse,48
283,strips,47
284,leftover,46
285,thick,46
286,cabbage,46
287,thai,46
288,lemons,46
289,granulated,46
290,broken,46
291,long,45
292,leeks,45
293,yolk,44
294,rolled,44
295,pineapple,44
296,sheets,44
297,blueberries,43
298,flakes,43
299,mozzarella,43
300,turmeric,43
301,bicarbonate,43
302,fruit,42
303,pitted,42
304,cake,42
305,cooking,41
306,reduced-salt,41
307,stem,41
308,little,41
309,bake,41
310,raspberry,41
311,vine-ripened,40
312,lentils,40
313,florets,40
314,pine,40
315,beetroot,39
316,balanced,39
317,dill,39
318,asparagus,39
319,spaghetti,39
320,thickly,38
321,sifted,38
322,boneless,38
323,chorizo,38
324,carton,38
325,cold,38
326,yolks,38
327,loin,37
328,raw,37
329,biscuits,37
330,streaky,37
331,feta,37
332,cod,36
333,italian,36
334,thin,36
335,apricot,36
336,maris,36
337,gel,36
338,piper,35
339,joint,35
340,mascarpone,35
341,sachet,35
342,radishes,35
343,pink,35
344,original,35
345,leek,35
346,separated,34
347,gem,34
348,vegetables,34
349,frying,34
350,blue,34
351,whites,34
352,plum,34
353,tuna,34
354,mangetout,33
355,salted,33
356,soured,33
357,filo,33
358,ice,33
359,amoy,33
360,chutney,33
361,couscous,32
362,basmati,32
363,topping,32
364,bananas,32
365,corn,32
366,chestnut,32
367,mashed,32
368,pistachios,32
369,boiled,32
370,vine,32
371,cous,32
372,pumpkin,32
373,cannellini,32
374,sun-dried,31
375,curly,31
376,virgin,31
377,cauliflower,31
378,brushing,31
379,thawed,31
380,skinned,31
381,full,30
382,parsnips,30
383,bean,30
384,seasoning,30
385,oranges,30
386,strawberry,30
387,rolls,30
388,maple,30
389,strong,30
390,sea,29
391,redcurrant,29
392,skimmed,29
393,broad,29
394,sprig,29
395,oats,29
396,squeezed,29
397,pomegranate,29
398,wild,29
399,leg,29
400,peanut,29
401,haddock,29
402,breasts,29
403,easy,28
404,walnuts,28
405,single,28
406,old,28
407,skinless,28
408,great,27
409,courgette,27
410,dissolved,27
411,bags,27
412,condensed,27
413,pizza,27
414,french,26
415,raisins,26
416,unsmoked,26
417,raising,26
418,roasted,26
419,arborio,26
420,self,26
421,dressing,25
422,creamy,25
423,freshness,25
424,tortillas,25
425,pesto,25
426,pecans,25
427,custard,25
428,capers,25
429,cranberries,25
430,masala,25
431,digestive,25
432,defrosted,25
433,sage,24
434,tastes,24
435,weighed,24
436,yeast,24
437,colour,24
438,edward,24
439,glaze,24
440,pointed,24
441,gravy,24
442,days,24
443,hazelnuts,24
444,horseradish,24
445,back,24
446,mexican,24
447,whipping,23
448,buns,23
449,garam,23
450,ciabatta,23
451,kidney,23
452,demerara,23
453,dust,23
454,aubergines,23
455,gammon,23
456,lighter,23
457,aubergine,23
458,ready-to-roll,22
459,scottish,22
460,desiccated,22
