,Ingredient,numTimes
0,asda,2528
1,chopped,1930
2,oil,1356
3,sliced,1058
4,sugar,992
5,serve,959
6,butter,849
7,large,819
8,red,772
9,pack,736
10,finely,686
11,flour,674
12,olive,648
13,fresh,589
14,grated,568
15,onion,566
16,juice,551
17,garlic,537
18,frozen,522
19,peeled,500
20,sauce,498
21,eggs,474
22,milk,462
23,stock,460
24,special,458
25,chosen,457
26,small,453
27,lemon,441
28,caster,435
29,tomatoes,424
30,sunflower,396
31,ground,395
32,egg,386
33,can,386
34,white,377
35,drained,356
36,dried,349
37,chicken,348
38,crushed,346
39,onions,333
40,potatoes,331
41,powder,318
42,trimmed,317
43,icing,310
44,chilli,309
45,pepper,307
46,cream,307
47,parsley,296
48,halved,294
49,cheese,290
50,zest,285
51,tomato,274
52,fat,271
53,mixed,270
54,spring,269
55,clove,267
56,de-seeded,264
57,pieces,262
58,coriander,253
59,chocolate,242
60,green,236
61,mustard,234
62,baby,233
63,vinegar,232
64,diced,230
65,bread,229
66,beans,218
67,sweet,217
68,optional,214
69,beaten,214
70,vanilla,213
71,ginger,211
72,rice,209
73,fillets,208
74,thyme,206
75,lime,205
76,soft,204
77,cube,202
78,vegetable,199
79,free-range,199
80,cornflour,194
81,honey,194
82,brown,193
83,carrots,190
84,cloves,189
85,extract,187
86,light,185
87,peas,184
88,orange,184
89,beef,183
90,packs,176
91,seeds,170
92,slices,169
93,salt,166
94,unsalted,162
95,wine,160
96,baking,156
97,pastry,155
98,self-raising,155
99,water,155
100,roughly,152
101,double,151
102,cooked,149
103,peppers,148
104,chunks,147
105,mushrooms,147
106,pinch,146
107,softened,143
108,dark,142
109,cheddar,142
110,pork,141
111,soy,137
112,black,137
113,smoked,136
114,rinsed,135
115,cubes,134
116,cinnamon,134
117,cocoa,133
118,mature,133
119,parmesan,132
120,rapeseed,131
121,whole,131
122,ready,129
123,made,129
124,greasing,127
125,spinach,126
126,breadcrumbs,126
127,salad,126
128,cherry,125
129,almonds,125
130,garnish,124
131,wedges,121
132,syrup,120
133,paprika,119
134,rolling,118
135,butchers,117
136,yogurt,117
137,mint,117
138,hot,116
139,crème,115
140,cubed,115
141,melted,115
142,sprigs,114
143,breast,113
144,golden,113
145,reduced,113
146,fraîche,111
147,basil,111
148,herbs,108
149,leaf,105
150,thinly,105
151,purée,105
152,weight,104
153,out,103
154,smart,103
155,potato,103
156,coconut,101
157,bag,99
158,grower’s,99
159,ketchup,98
160,cumin,97
161,cook,96
162,food,94
163,less,94
164,mix,93
165,butcher’s,93
166,salmon,93
167,cans,92
168,quartered,91
169,lamb,91
170,ripe,90
171,reduced-fat,90
172,decorate,90
173,flat-leaf,90
174,semi-skimmed,88
175,jar,87
176,nuts,86
177,sweetcorn,85
178,fish,84
179,dijon,83
180,piece,82
181,shredded,82
182,bacon,82
183,removed,82
184,carrot,82
185,pot,81
186,chillies,81
187,british,80
188,balsamic,80
189,crumbled,78
190,steaks,78
191,lightly,78
192,curry,77
193,mince,77
194,jam,77
195,cider,77
196,chilled,76
197,apple,75
198,natural,75
199,celery,74
200,roll,74
201,free,73
202,greek,73
203,dusting,73
204,steak,73
205,spice,71
206,root,71
207,fillet,71
208,deseeded,70
209,paste,70
210,bay,70
211,broccoli,70
212,raspberries,70
213,squash,69
214,colouring,69
215,cucumber,69
216,grain,69
217,mild,68
218,butternut,68
219,shallot,68
220,dry,68
221,bite-sized,67
222,drops,67
223,toasted,67
224,unwaxed,67
225,good,67
226,lettuce,66
227,stick,66
228,strawberries,66
229,rocket,65
230,style,64
231,chives,64
232,crusty,64
233,puff,64
234,only,64
235,noodles,64
236,prawns,64
237,pasta,63
238,worcestershire,63
239,king,63
240,lean,62
241,apricots,62
242,sesame,62
243,skin,61
244,oregano,60
245,sticks,60
246,sausages,59
247,sultanas,59
248,scratch,59
249,bunch,58
250,each,58
251,cayenne,58
252,chickpeas,58
253,apples,57
254,turkey,57
255,cored,57
256,solids,57
257,mayonnaise,56
258,ham,56
259,olives,56
260,washed,56
261,rashers,56
262,stoned,56
263,shallots,55
264,torn,55
265,shortcrust,55
266,courgettes,53
267,nutmeg,53
268,flaked,53
269,roast,52
270,dr,51
271,soda,51
272,mini,51
273,oetker,50
274,cherries,50
275,jelly,49
276,freshly,49
277,lengthways,49
278,wholemeal,49
279,handful,48
280,rosemary,48
281,coarse,48
282,mango,48
283,strips,47
284,lemons,46
285,granulated,46
286,cabbage,46
287,thai,46
288,leftover,46
289,thick,46
290,broken,46
291,leeks,45
292,long,45
293,yolk,44
294,sheets,44
295,rolled,44
296,pineapple,44
297,flakes,43
298,turmeric,43
299,bicarbonate,43
300,blueberries,43
301,mozzarella,43
302,fruit,42
303,pitted,42
304,cake,42
305,reduced-salt,41
306,little,41
307,cooking,41
308,raspberry,41
309,bake,41
310,stem,41
311,florets,40
312,lentils,40
313,pine,40
314,vine-ripened,40
315,dill,39
316,balanced,39
317,asparagus,39
318,beetroot,39
319,spaghetti,39
320,cold,38
321,carton,38
322,yolks,38
323,chorizo,38
324,sifted,38
325,boneless,38
326,thickly,38
327,raw,37
328,streaky,37
329,feta,37
330,loin,37
331,biscuits,37
332,thin,36
333,apricot,36
334,cod,36
335,gel,36
336,maris,36
337,italian,36
338,leek,35
339,mascarpone,35
340,pink,35
341,sachet,35
342,original,35
343,radishes,35
344,joint,35
345,piper,35
346,gem,34
347,blue,34
348,plum,34
349,frying,34
350,vegetables,34
351,whites,34
352,tuna,34
353,separated,34
354,amoy,33
355,mangetout,33
356,ice,33
357,salted,33
358,soured,33
359,chutney,33
360,filo,33
361,topping,32
362,pistachios,32
363,bananas,32
364,couscous,32
365,basmati,32
366,vine,32
367,pumpkin,32
368,mashed,32
369,corn,32
370,cous,32
371,cannellini,32
372,chestnut,32
373,boiled,32
374,thawed,31
375,cauliflower,31
376,virgin,31
377,skinned,31
378,curly,31
379,sun-dried,31
380,brushing,31
381,strawberry,30
382,seasoning,30
383,strong,30
384,full,30
385,parsnips,30
386,bean,30
387,rolls,30
388,maple,30
389,oranges,30
390,oats,29
391,wild,29
392,redcurrant,29
393,leg,29
394,sprig,29
395,broad,29
396,peanut,29
397,skimmed,29
398,sea,29
399,pomegranate,29
400,haddock,29
401,breasts,29
402,squeezed,29
403,old,28
404,skinless,28
405,single,28
406,easy,28
407,walnuts,28
408,dissolved,27
409,bags,27
410,condensed,27
411,great,27
412,pizza,27
413,courgette,27
414,raising,26
415,roasted,26
416,unsmoked,26
417,french,26
418,arborio,26
419,raisins,26
420,self,26
421,capers,25
422,cranberries,25
423,pecans,25
424,defrosted,25
425,dressing,25
426,tortillas,25
427,freshness,25
428,digestive,25
429,custard,25
430,pesto,25
431,masala,25
432,creamy,25
433,yeast,24
434,days,24
435,weighed,24
436,edward,24
437,if,24
438,colour,24
439,back,24
440,gravy,24
441,sage,24
442,hazelnuts,24
443,horseradish,24
444,tastes,24
445,mexican,24
446,glaze,24
447,pointed,24
448,aubergines,23
449,ciabatta,23
450,whipping,23
451,lighter,23
452,kidney,23
453,dust,23
454,aubergine,23
455,demerara,23
456,buns,23
457,gammon,23
458,garam,23
459,naan,22
460,rhubarb,22
461,shaved,22
