user,recipe,score,rank
user_1,96181,5,1
user_1,205980,5,2
user_1,295802,5,3
user_1,300909,5,4
user_1,sticky-toffee-puddings,5,5
user_1,296256,5,6
user_1,296621,5,7
user_1,80843,5,8
user_1,268707,5,9
user_1,300037,5,10
user_2,205980,5,1
user_2,295802,5,2
user_2,300909,5,3
user_2,sticky-toffee-puddings,5,4
user_2,296256,5,5
user_2,296621,5,6
user_2,80843,5,7
user_2,268707,5,8
user_2,300037,5,9
user_2,241469,5,10
user_3,205980,5,1
user_3,295802,5,2
user_3,300909,5,3
user_3,sticky-toffee-puddings,5,4
user_3,296256,5,5
user_3,296621,5,6
user_3,80843,5,7
user_3,268707,5,8
user_3,300037,5,9
user_3,241469,5,10
user_4,205980,5,1
user_4,295802,5,2
user_4,300909,5,3
user_4,sticky-toffee-puddings,5,4
user_4,296256,5,5
user_4,296621,5,6
user_4,80843,5,7
user_4,268707,5,8
user_4,300037,5,9
user_4,241469,5,10
user_5,205980,5,1
user_5,295802,5,2
user_5,300909,5,3
user_5,sticky-toffee-puddings,5,4
user_5,296256,5,5
user_5,296621,5,6
user_5,80843,5,7
user_5,268707,5,8
user_5,300037,5,9
user_5,241469,5,10
user_6,205980,5,1
user_6,295802,5,2
user_6,300909,5,3
user_6,sticky-toffee-puddings,5,4
user_6,296256,5,5
user_6,296621,5,6
user_6,80843,5,7
user_6,268707,5,8
user_6,300037,5,9
user_6,241469,5,10
user_7,205980,5,1
user_7,295802,5,2
user_7,300909,5,3
user_7,sticky-toffee-puddings,5,4
user_7,296256,5,5
user_7,296621,5,6
user_7,80843,5,7
user_7,268707,5,8
user_7,300037,5,9
user_7,241469,5,10
user_8,205980,5,1
user_8,295802,5,2
user_8,300909,5,3
user_8,sticky-toffee-puddings,5,4
user_8,296256,5,5
user_8,296621,5,6
user_8,80843,5,7
user_8,268707,5,8
user_8,300037,5,9
user_8,241469,5,10
user_9,205980,5,1
user_9,295802,5,2
user_9,300909,5,3
user_9,sticky-toffee-puddings,5,4
user_9,296256,5,5
user_9,296621,5,6
user_9,80843,5,7
user_9,268707,5,8
user_9,300037,5,9
user_9,241469,5,10
user_10,205980,5,1
user_10,295802,5,2
user_10,300909,5,3
user_10,sticky-toffee-puddings,5,4
user_10,296256,5,5
user_10,296621,5,6
user_10,80843,5,7
user_10,268707,5,8
user_10,300037,5,9
user_10,241469,5,10
user_11,205980,5,1
user_11,295802,5,2
user_11,300909,5,3
user_11,sticky-toffee-puddings,5,4
user_11,296256,5,5
user_11,296621,5,6
user_11,80843,5,7
user_11,268707,5,8
user_11,300037,5,9
user_11,241469,5,10
user_12,205980,5,1
user_12,295802,5,2
user_12,300909,5,3
user_12,sticky-toffee-puddings,5,4
user_12,296256,5,5
user_12,296621,5,6
user_12,80843,5,7
user_12,268707,5,8
user_12,300037,5,9
user_12,241469,5,10
user_13,205980,5,1
user_13,295802,5,2
user_13,300909,5,3
user_13,sticky-toffee-puddings,5,4
user_13,296256,5,5
user_13,296621,5,6
user_13,80843,5,7
user_13,268707,5,8
user_13,300037,5,9
user_13,241469,5,10
user_14,205980,5,1
user_14,295802,5,2
user_14,300909,5,3
user_14,sticky-toffee-puddings,5,4
user_14,296256,5,5
user_14,296621,5,6
user_14,80843,5,7
user_14,268707,5,8
user_14,300037,5,9
user_14,241469,5,10
user_15,205980,5,1
user_15,295802,5,2
user_15,300909,5,3
user_15,sticky-toffee-puddings,5,4
user_15,296256,5,5
user_15,296621,5,6
user_15,80843,5,7
user_15,268707,5,8
user_15,300037,5,9
user_15,241469,5,10
user_16,205980,5,1
user_16,295802,5,2
user_16,300909,5,3
user_16,sticky-toffee-puddings,5,4
user_16,296256,5,5
user_16,296621,5,6
user_16,80843,5,7
user_16,268707,5,8
user_16,300037,5,9
user_16,241469,5,10
user_17,205980,5,1
user_17,295802,5,2
user_17,300909,5,3
user_17,sticky-toffee-puddings,5,4
user_17,296256,5,5
user_17,296621,5,6
user_17,80843,5,7
user_17,268707,5,8
user_17,300037,5,9
user_17,241469,5,10
user_18,205980,5,1
user_18,295802,5,2
user_18,300909,5,3
user_18,sticky-toffee-puddings,5,4
user_18,296256,5,5
user_18,296621,5,6
user_18,80843,5,7
user_18,268707,5,8
user_18,300037,5,9
user_18,241469,5,10
user_19,205980,5,1
user_19,295802,5,2
user_19,300909,5,3
user_19,sticky-toffee-puddings,5,4
user_19,296256,5,5
user_19,296621,5,6
user_19,80843,5,7
user_19,268707,5,8
user_19,300037,5,9
user_19,241469,5,10
user_20,205980,5,1
user_20,295802,5,2
user_20,300909,5,3
user_20,sticky-toffee-puddings,5,4
user_20,296256,5,5
user_20,296621,5,6
user_20,80843,5,7
user_20,268707,5,8
user_20,300037,5,9
user_20,241469,5,10
user_21,205980,5,1
user_21,295802,5,2
user_21,300909,5,3
user_21,sticky-toffee-puddings,5,4
user_21,296256,5,5
user_21,296621,5,6
user_21,80843,5,7
user_21,268707,5,8
user_21,300037,5,9
user_21,241469,5,10
user_22,205980,5,1
user_22,295802,5,2
user_22,300909,5,3
user_22,sticky-toffee-puddings,5,4
user_22,296256,5,5
user_22,296621,5,6
user_22,80843,5,7
user_22,268707,5,8
user_22,300037,5,9
user_22,241469,5,10
user_23,205980,5,1
user_23,295802,5,2
user_23,300909,5,3
user_23,sticky-toffee-puddings,5,4
user_23,296256,5,5
user_23,296621,5,6
user_23,80843,5,7
user_23,268707,5,8
user_23,300037,5,9
user_23,241469,5,10
user_24,205980,5,1
user_24,295802,5,2
user_24,300909,5,3
user_24,sticky-toffee-puddings,5,4
user_24,296256,5,5
user_24,296621,5,6
user_24,80843,5,7
user_24,268707,5,8
user_24,300037,5,9
user_24,241469,5,10
user_25,205980,5,1
user_25,295802,5,2
user_25,300909,5,3
user_25,sticky-toffee-puddings,5,4
user_25,296256,5,5
user_25,296621,5,6
user_25,80843,5,7
user_25,268707,5,8
user_25,300037,5,9
user_25,241469,5,10
user_26,96181,5,1
user_26,205980,5,2
user_26,295802,5,3
user_26,300909,5,4
user_26,sticky-toffee-puddings,5,5
user_26,296256,5,6
user_26,296621,5,7
user_26,80843,5,8
user_26,268707,5,9
user_26,241469,5,10
user_27,96181,5,1
user_27,205980,5,2
user_27,295802,5,3
user_27,300909,5,4
user_27,sticky-toffee-puddings,5,5
user_27,296256,5,6
user_27,296621,5,7
user_27,80843,5,8
user_27,268707,5,9
user_27,241469,5,10
user_28,205980,5,1
user_28,295802,5,2
user_28,300909,5,3
user_28,sticky-toffee-puddings,5,4
user_28,296256,5,5
user_28,296621,5,6
user_28,80843,5,7
user_28,268707,5,8
user_28,300037,5,9
user_28,241469,5,10
user_29,205980,5,1
user_29,295802,5,2
user_29,300909,5,3
user_29,sticky-toffee-puddings,5,4
user_29,296256,5,5
user_29,296621,5,6
user_29,80843,5,7
user_29,268707,5,8
user_29,300037,5,9
user_29,241469,5,10
user_30,205980,5,1
user_30,295802,5,2
user_30,300909,5,3
user_30,sticky-toffee-puddings,5,4
user_30,296256,5,5
user_30,296621,5,6
user_30,80843,5,7
user_30,268707,5,8
user_30,300037,5,9
user_30,241469,5,10
user_31,205980,5,1
user_31,295802,5,2
user_31,300909,5,3
user_31,sticky-toffee-puddings,5,4
user_31,296256,5,5
user_31,296621,5,6
user_31,80843,5,7
user_31,268707,5,8
user_31,300037,5,9
user_31,241469,5,10
user_32,205980,5,1
user_32,295802,5,2
user_32,300909,5,3
user_32,sticky-toffee-puddings,5,4
user_32,296256,5,5
user_32,296621,5,6
user_32,80843,5,7
user_32,268707,5,8
user_32,300037,5,9
user_32,241469,5,10
user_33,205980,5,1
user_33,295802,5,2
user_33,300909,5,3
user_33,sticky-toffee-puddings,5,4
user_33,296256,5,5
user_33,296621,5,6
user_33,80843,5,7
user_33,268707,5,8
user_33,300037,5,9
user_33,241469,5,10
user_34,205980,5,1
user_34,295802,5,2
user_34,300909,5,3
user_34,sticky-toffee-puddings,5,4
user_34,296256,5,5
user_34,296621,5,6
user_34,80843,5,7
user_34,268707,5,8
user_34,300037,5,9
user_34,241469,5,10
user_35,205980,5,1
user_35,295802,5,2
user_35,300909,5,3
user_35,sticky-toffee-puddings,5,4
user_35,296256,5,5
user_35,296621,5,6
user_35,80843,5,7
user_35,268707,5,8
user_35,300037,5,9
user_35,241469,5,10
user_36,96181,5,1
user_36,205980,5,2
user_36,295802,5,3
user_36,300909,5,4
user_36,sticky-toffee-puddings,5,5
user_36,296256,5,6
user_36,296621,5,7
user_36,80843,5,8
user_36,300037,5,9
user_36,241469,5,10
user_37,205980,5,1
user_37,295802,5,2
user_37,300909,5,3
user_37,sticky-toffee-puddings,5,4
user_37,296256,5,5
user_37,296621,5,6
user_37,80843,5,7
user_37,268707,5,8
user_37,300037,5,9
user_37,241469,5,10
user_38,205980,5,1
user_38,295802,5,2
user_38,300909,5,3
user_38,sticky-toffee-puddings,5,4
user_38,296256,5,5
user_38,296621,5,6
user_38,80843,5,7
user_38,268707,5,8
user_38,300037,5,9
user_38,241469,5,10
user_39,205980,5,1
user_39,295802,5,2
user_39,300909,5,3
user_39,sticky-toffee-puddings,5,4
user_39,296256,5,5
user_39,296621,5,6
user_39,80843,5,7
user_39,268707,5,8
user_39,300037,5,9
user_39,241469,5,10
user_40,205980,5,1
user_40,295802,5,2
user_40,300909,5,3
user_40,sticky-toffee-puddings,5,4
user_40,296256,5,5
user_40,296621,5,6
user_40,80843,5,7
user_40,268707,5,8
user_40,300037,5,9
user_40,241469,5,10
user_41,205980,5,1
user_41,295802,5,2
user_41,300909,5,3
user_41,sticky-toffee-puddings,5,4
user_41,296256,5,5
user_41,296621,5,6
user_41,80843,5,7
user_41,268707,5,8
user_41,300037,5,9
user_41,241469,5,10
user_42,205980,5,1
user_42,295802,5,2
user_42,300909,5,3
user_42,sticky-toffee-puddings,5,4
user_42,296256,5,5
user_42,296621,5,6
user_42,80843,5,7
user_42,268707,5,8
user_42,300037,5,9
user_42,241469,5,10
user_43,205980,5,1
user_43,295802,5,2
user_43,300909,5,3
user_43,sticky-toffee-puddings,5,4
user_43,296256,5,5
user_43,296621,5,6
user_43,80843,5,7
user_43,268707,5,8
user_43,300037,5,9
user_43,241469,5,10
user_44,96181,5,1
user_44,205980,5,2
user_44,295802,5,3
user_44,300909,5,4
user_44,sticky-toffee-puddings,5,5
user_44,296256,5,6
user_44,296621,5,7
user_44,268707,5,8
user_44,300037,5,9
user_44,241469,5,10
user_45,205980,5,1
user_45,295802,5,2
user_45,300909,5,3
user_45,sticky-toffee-puddings,5,4
user_45,296256,5,5
user_45,296621,5,6
user_45,80843,5,7
user_45,268707,5,8
user_45,300037,5,9
user_45,241469,5,10
user_46,205980,5,1
user_46,295802,5,2
user_46,300909,5,3
user_46,sticky-toffee-puddings,5,4
user_46,296256,5,5
user_46,296621,5,6
user_46,80843,5,7
user_46,268707,5,8
user_46,300037,5,9
user_46,241469,5,10
user_47,96181,5,1
user_47,205980,5,2
user_47,295802,5,3
user_47,300909,5,4
user_47,sticky-toffee-puddings,5,5
user_47,296256,5,6
user_47,80843,5,7
user_47,268707,5,8
user_47,300037,5,9
user_47,241469,5,10
user_48,205980,5,1
user_48,295802,5,2
user_48,300909,5,3
user_48,sticky-toffee-puddings,5,4
user_48,296256,5,5
user_48,296621,5,6
user_48,80843,5,7
user_48,268707,5,8
user_48,300037,5,9
user_48,241469,5,10
user_49,205980,5,1
user_49,295802,5,2
user_49,300909,5,3
user_49,sticky-toffee-puddings,5,4
user_49,296256,5,5
user_49,296621,5,6
user_49,80843,5,7
user_49,268707,5,8
user_49,300037,5,9
user_49,241469,5,10
user_50,205980,5,1
user_50,295802,5,2
user_50,300909,5,3
user_50,sticky-toffee-puddings,5,4
user_50,296256,5,5
user_50,296621,5,6
user_50,80843,5,7
user_50,268707,5,8
user_50,300037,5,9
user_50,241469,5,10
user_51,205980,5,1
user_51,295802,5,2
user_51,300909,5,3
user_51,sticky-toffee-puddings,5,4
user_51,296256,5,5
user_51,296621,5,6
user_51,80843,5,7
user_51,268707,5,8
user_51,300037,5,9
user_51,241469,5,10
user_52,96181,5,1
user_52,205980,5,2
user_52,295802,5,3
user_52,300909,5,4
user_52,sticky-toffee-puddings,5,5
user_52,296621,5,6
user_52,80843,5,7
user_52,268707,5,8
user_52,300037,5,9
user_52,241469,5,10
user_53,205980,5,1
user_53,295802,5,2
user_53,300909,5,3
user_53,sticky-toffee-puddings,5,4
user_53,296256,5,5
user_53,296621,5,6
user_53,80843,5,7
user_53,268707,5,8
user_53,300037,5,9
user_53,241469,5,10
user_54,205980,5,1
user_54,295802,5,2
user_54,300909,5,3
user_54,sticky-toffee-puddings,5,4
user_54,296256,5,5
user_54,296621,5,6
user_54,80843,5,7
user_54,268707,5,8
user_54,300037,5,9
user_54,241469,5,10
user_55,205980,5,1
user_55,295802,5,2
user_55,300909,5,3
user_55,sticky-toffee-puddings,5,4
user_55,296256,5,5
user_55,296621,5,6
user_55,80843,5,7
user_55,268707,5,8
user_55,300037,5,9
user_55,241469,5,10
user_56,205980,5,1
user_56,295802,5,2
user_56,300909,5,3
user_56,sticky-toffee-puddings,5,4
user_56,296256,5,5
user_56,296621,5,6
user_56,80843,5,7
user_56,268707,5,8
user_56,300037,5,9
user_56,241469,5,10
user_57,205980,5,1
user_57,295802,5,2
user_57,300909,5,3
user_57,sticky-toffee-puddings,5,4
user_57,296256,5,5
user_57,296621,5,6
user_57,80843,5,7
user_57,268707,5,8
user_57,300037,5,9
user_57,241469,5,10
user_58,205980,5,1
user_58,295802,5,2
user_58,300909,5,3
user_58,sticky-toffee-puddings,5,4
user_58,296256,5,5
user_58,296621,5,6
user_58,80843,5,7
user_58,268707,5,8
user_58,300037,5,9
user_58,241469,5,10
user_59,205980,5,1
user_59,295802,5,2
user_59,300909,5,3
user_59,sticky-toffee-puddings,5,4
user_59,296256,5,5
user_59,296621,5,6
user_59,80843,5,7
user_59,268707,5,8
user_59,300037,5,9
user_59,241469,5,10
user_60,205980,5,1
user_60,295802,5,2
user_60,300909,5,3
user_60,sticky-toffee-puddings,5,4
