user,recipe,rating
user_1,295440,3
user_1,259995,3
user_1,261065,3
user_2,268660,4
user_2,131633,3
user_2,summer-berry-eton-mess,3
user_2,291087,4
user_2,204903,3
user_3,124373,3
user_3,241588,3
user_3,188117,3
user_4,121764,4
user_4,270995,3
user_4,114992,4
user_5,ready-in-minutes-rosti-with-salmon,3
user_5,mushroom-burger,4
user_5,235677,3
user_5,178504,4
user_5,13814,3
user_5,287335,4
user_5,173277,3
user_5,250075,3
user_6,200613,3
user_6,276133,4
user_6,32773,4
user_6,145469,4
user_6,133742,3
user_6,152850,3
user_6,294420,3
user_6,138483,3
user_7,271256,4
user_7,beetroot-onion-bake,4
user_7,229921,4
user_7,slow-cooked-beef-in-ale,4
user_7,stuffed-chicken-breasts,4
user_8,298030,3
user_8,57168,3
user_8,162388,4
user_8,230378,4
user_8,63472,4
user_8,300291,4
user_8,57799,3
user_8,51461,4
user_9,chocolate-cherry-trifle,4
user_9,299771,3
user_9,parmesan-crusted-haddock,4
user_9,265475,3
user_9,298242,4
user_9,186707,3
user_9,225207,4
user_9,133731,3
user_9,287543,3
user_10,131201,4
user_10,raspberry-cheesecake-brownie,4
user_10,245436,3
user_10,170461,3
user_11,204903,3
user_11,37830,3
user_11,37549,3
user_11,299769,3
user_11,134046,3
user_11,pork-with-apple-wedges-ginger,3
user_11,153876,4
user_11,136702,3
user_12,238824,4
user_12,296854,4
user_12,264598,4
user_12,160290,4
user_12,296649,3
user_12,164101,3
user_12,james-martin-smoked-salmon-pizza,4
user_12,299253,4
user_13,16858,3
user_13,295528,4
user_13,143879,4
user_13,131480,4
user_13,109755,3
user_14,297973,4
user_14,100953,3
user_14,13914,3
user_14,58071,3
user_14,213503,4
user_14,67760,4
user_14,91998,3
user_14,coconut-granola-muffins,3
user_15,257009,3
user_15,160827,3
user_15,24624,3
user_15,129080,3
user_15,300031,4
user_15,230055,3
user_15,88850,3
user_16,19762,3
user_16,198711,4
user_16,297958,4
user_16,138483,4
user_17,51156,4
user_17,259859,3
user_17,167113,4
user_17,14529,3
user_18,128056,3
user_18,213503,4
user_18,107567,3
user_18,masterclass-vanilla-ice-cream,3
user_18,85633,3
user_18,286016,4
user_18,167749,3
user_18,114183,4
user_18,106936,4
user_19,229068,3
user_19,167776,3
user_19,17037,4
user_19,46986,3
user_20,13481,3
user_20,112209,4
user_20,masterclass-scotch-eggs,3
user_21,170760,4
user_21,218244,4
user_21,69317,3
user_21,14783,4
user_21,48949,3
user_21,cherry-lattice-pie,4
user_21,39386,3
user_21,256550,4
user_21,18243,3
user_22,220559,4
user_22,300164,3
user_22,241661,4
user_22,264581,4
user_22,272130,4
user_22,39607,4
user_22,213077,3
user_22,19519,3
user_23,44328,3
user_23,150154,3
user_23,chinese-salad,3
user_23,243330,3
user_23,248296,3
user_23,99827,4
user_24,242886,4
user_24,balsamic-chicken-with-pasta,4
user_24,158188,4
user_24,177535,3
user_24,127996,3
user_24,23443,3
user_24,baa-lamb-muffins,3
user_24,296457,4
user_24,118207,4
user_25,113670,3
user_25,16566,4
user_25,195940,3
user_25,125482,4
user_25,267970,3
user_25,275194,3
user_26,180171,4
user_26,150695,4
user_26,291307,4
user_26,13897,4
user_26,214501,4
user_26,294807,3
user_26,224582,3
user_27,184466,3
user_27,202914,4
user_27,299131,4
user_27,182864,3
user_27,102556,3
user_27,88328,4
user_28,james-martins-sausage-cassoulet-recipe,3
user_28,31234,3
user_28,126725,3
user_28,148301,3
user_28,267840,4
user_28,299658,3
user_28,208220,3
user_28,299372,3
user_29,barbecued-nectarines,3
user_29,162388,3
user_29,183443,4
user_29,254350,3
user_29,223478,3
user_29,falafel-in-pitta,3
user_29,aubergine-gratin-with-tomato-sauce-recipe,3
user_30,101249,3
user_30,188480,4
user_30,150976,4
user_30,126005,4
user_30,42336,4
user_30,19853,3
user_30,31619,3
user_30,296230,3
user_30,89634,3
user_31,208440,4
user_31,127486,4
user_31,285610,4
user_31,184830,4
user_32,97531,4
user_32,tasty-turkey-and-kale-curry,3
user_32,135054,3
user_32,cottage-pie,4
user_32,224197,3
user_32,54449,3
user_32,198895,3
user_33,228591,4
user_33,181190,4
user_33,apricot-chicken-with-vegetable-rice,4
user_33,iberian-ice-cream,3
user_33,192816,3
user_33,walnut-topped-pavlova,4
user_33,115981,3
user_33,salmon-ceviche-with-orange-mulled-spices,4
user_33,300537,4
user_34,265967,3
user_34,minced-beef-onion-pies,3
user_34,20538,3
user_34,260192,4
user_34,18259,3
user_34,135209,3
user_34,233139,3
user_34,232712,3
user_34,286016,3
user_35,69732,3
user_35,171176,3
user_35,272705,4
user_35,189850,4
user_36,malaysian-beef-rendang-recipe,3
user_36,19120,4
user_36,14458,4
user_37,173058,3
user_37,178053,4
user_37,194099,3
user_37,295248,4
user_37,202939,3
user_38,189906,3
user_38,club-sandwich-pasta,3
user_38,69804,3
user_38,classic-sultana-apricot-tea-bread,4
user_38,248295,4
user_38,260774,3
user_38,68856,3
user_38,300094,4
user_38,cheesy-colcannon-croquettes,4
user_39,173310,4
user_39,292824,3
user_39,252350,3
user_39,55882,4
user_40,butternut-squash-ravioli,3
user_40,107998,4
user_40,210263,3
user_40,175469,3
user_40,120679,4
user_40,40962,3
user_41,70881,3
